A,O,T,mac,meanlat,meanmac,meanwhak,minlat,n,p,perimeter,q,r,whak
3.374e11,408900.0,294.6,40.46,-11.12,1.199e-10,5.316e-11,9.278,30,-1,2.484e6,1.293e-10,43.64,17.94
5.418e11,350400.0,265.8,1089.0,-38.0,2.01e-9,1.163e-10,35.26,30,-1,3.617e6,4.155e-9,2251.0,62.99
1.305e13,422900.0,236.3,7302.0,-55.81,5.596e-10,2.178e-11,35.26,31,-1,2.833e7,1.746e-9,22780.0,284.2
1.431e13,541500.0,239.7,9719.0,-49.81,6.793e-10,3.43e-11,31.54,31,-1,2.644e7,1.875e-9,26830.0,490.8
1.932e13,563700.0,287.5,39420.0,18.53,2.04e-9,3.792e-9,1.856,31,-1,3.642e7,1.285e-8,248300.0,73260.0
8.507e11,409200.0,224.9,103.7,87.16,1.22e-10,1.288e-13,87.16,31,-1,2.618e6,1.657e-10,140.9,0.1095
2.484e11,267500.0,241.1,168.5,61.23,6.785e-10,3.842e-12,61.23,31,-1,2.013e6,1.149e-9,285.4,0.9541
1.108e12,224400.0,224.6,127.5,-63.39,1.151e-10,1.303e-13,53.81,31,-1,6.978e6,1.571e-10,174.1,0.1443
6.635e11,402000.0,291.9,815.4,14.76,1.229e-9,6.047e-10,9.278,31,-1,4.135e6,1.761e-9,1169.0,401.2
3.225e12,451500.0,293.8,6668.0,-8.863,2.067e-9,3.877e-9,5.567,31,-1,9.9e6,1.151e-8,37140.0,12500.0
2.199e12,421500.0,249.6,4331.0,52.06,1.969e-9,5.905e-11,46.39,31,-1,6.804e6,7.058e-9,15520.0,129.9
5.186e13,745400.0,285.6,104800.0,8.499,2.022e-9,2.712e-9,1.856,31,-1,7.154e7,9.444e-9,489700.0,140600.0
4.148e12,402000.0,252.0,4044.0,-41.43,9.747e-10,3.926e-11,27.83,31,-1,1.426e7,2.325e-9,9644.0,162.9
5.675e12,547800.0,290.3,2060.0,-18.79,3.631e-10,1.795e-10,9.278,31,-1,1.202e7,4.96e-10,2815.0,1018.0
5.796e13,597200.0,266.1,61040.0,-26.98,1.053e-9,1.479e-9,1.856,32,-1,8.454e7,4.087e-9,236900.0,85730.0
1.826e13,602800.0,278.7,26200.0,-26.49,1.435e-9,2.653e-9,1.856,32,-1,2.987e7,8.337e-9,152300.0,48460.0
1.036e13,447900.0,240.6,12130.0,62.24,1.171e-9,4.774e-11,38.97,32,-1,1.927e7,3.842e-9,39810.0,494.6
1.071e12,348000.0,247.2,1536.0,55.41,1.434e-9,2.216e-11,53.81,32,-1,4.465e6,3.631e-9,3890.0,23.74
6.677e11,406200.0,294.3,1516.0,-13.9,2.27e-9,1.709e-9,12.99,32,-1,4.095e6,4.165e-9,2781.0,1141.0
9.821e12,503200.0,285.9,19030.0,-19.44,1.937e-9,2.489e-9,1.856,32,-1,2.405e7,7.77e-9,76310.0,24450.0
8.67e12,442700.0,241.7,9814.0,57.14,1.132e-9,2.466e-11,46.39,32,-1,2.101e7,3.979e-9,34500.0,213.8
2.616e12,464700.0,285.6,537.4,26.18,2.054e-10,4.176e-11,20.41,32,-1,7.787e6,2.314e-10,605.2,109.2
