A,mac,meanmac,meanwhak,whak,lat,Area Range,Latitude Range,whakfrac,macfrac
0.0239,0.618,0.0506,0.0725,0.885,15.6,1,1,0.282,0.191
0.00713,0.0928,0.0255,0.000628,0.00228,61.3,0,3,0.000728,0.0288
0.000657,0.00164,0.0049,0.00233,0.00078,13,0,0,0.000248,0.000509
0.000955,0.00292,0.00599,0.00176,0.000856,19.2,0,1,0.000273,0.000904
0.0235,0.1,0.00835,0.00023,0.00276,67.9,1,4,0.000516,0.0217
0.000337,0.0272,0.158,0.368,0.0632,1.86,0,0,0.0118,0.0059
0.0491,0.794,0.0317,0.0314,0.787,49.8,2,3,0.147,0.172
0.000287,0.00728,0.0497,0.00321,0.000471,31.5,0,2,8.81e-05,0.00158
0.00196,0.00707,0.00709,0.00338,0.00337,14.8,0,0,0.000632,0.00154
0.0566,1.23,0.0427,0.0237,0.683,31.8,2,2,0.128,0.267
0.00143,0.00631,0.00867,7.64e-05,5.56e-05,45.1,0,3,1.04e-05,0.00137
0.00601,0.246,0.0802,0.169,0.52,6.77,0,0,0.0973,0.0534
0.00934,0.0636,0.0133,0.000282,0.00135,58,0,3,0.000252,0.0138
0.00268,0.158,0.116,0.323,0.442,5.09,0,0,0.0828,0.0344
0.00241,0.00563,0.00458,5.57e-06,6.84e-06,67.5,0,4,1.28e-06,0.00122
0.00435,0.0407,0.0183,0.0013,0.0029,30.1,0,2,0.000542,0.00884
0.00423,0.127,0.0589,0.103,0.222,14.3,0,0,0.0415,0.0276
0.00826,0.181,0.043,0.00216,0.00909,38.8,0,2,0.0017,0.0393
0.00865,0.115,0.026,0.00259,0.0114,33.5,0,2,0.00214,0.0249
0.0413,1.5,0.071,0.123,2.59,1.05,1,0,0.486,0.325
0.00595,0.00957,0.00316,2.08e-06,6.31e-06,82.5,0,4,1.01e-06,0.00181
0.048,1.31,0.0535,0.0583,1.43,26.3,1,1,0.229,0.247
0.0402,0.832,0.0406,0.0377,0.772,42.5,1,2,0.124,0.157
0.000616,0.00246,0.00784,0.00154,0.000484,24.1,0,1,7.75e-05,0.000465
0.00152,0.0395,0.0509,0.000955,0.000741,55.6,0,3,0.000119,0.00745
0.00523,0.153,0.0573,0.00327,0.00873,34.9,0,2,0.0014,0.0289
0.00159,0.00344,0.00423,0.00168,0.00137,18.9,0,1,0.000219,0.000649
0.00258,0.0869,0.0661,0.00386,0.00508,39.9,0,2,0.000813,0.0164
0.00533,0.218,0.0803,0.195,0.53,7.37,0,0,0.085,0.0412
